Date,Adj_Close,Close,High,Low,Open,Volume,pct_change,ma20,ma5,signal
2010-01-04 00:00:00+00:00,6.454506874084473,7.643214225769043,7.660714149475098,7.585000038146973,7.622499942779541,493729600,0.0,6.454506874084473,6.454506874084473,
2010-01-05 00:00:00+00:00,6.465663909912109,7.656428813934326,7.699643135070801,7.6160712242126465,7.664286136627197,601904800,0.0017285651786091982,6.460085391998291,6.460085391998291,
2010-01-06 00:00:00+00:00,6.362820148468018,7.534643173217773,7.68678617477417,7.526785850524902,7.656428813934326,552160000,-0.01590614094345799,6.427663644154866,6.427663644154866,
2010-01-07 00:00:00+00:00,6.351057052612305,7.520713806152344,7.5714287757873535,7.466071128845215,7.5625,477131200,-0.0018487236133092333,6.408511996269226,6.408511996269226,
2010-01-08 00:00:00+00:00,6.393279552459717,7.570713996887207,7.5714287757873535,7.466429233551025,7.510714054107666,447610800,0.006648105897591572,6.405465507507325,6.405465507507325,
2010-01-11 00:00:00+00:00,6.336883068084717,7.503929138183594,7.607142925262451,7.444643020629883,7.599999904632568,462229600,-0.00882121357469845,6.39403510093689,6.381940746307373,0.0
2010-01-12 00:00:00+00:00,6.264800548553467,7.41857099533081,7.491786003112793,7.372142791748047,7.471070766448975,594459600,-0.011375074899880766,6.375573022024972,6.341768074035644,
2010-01-13 00:00:00+00:00,6.35316801071167,7.523213863372803,7.533214092254639,7.289286136627197,7.423929214477539,605892000,0.01410539114108067,6.372772395610809,6.339837646484375,
2010-01-14 00:00:00+00:00,6.316372394561768,7.479642868041992,7.51642894744873,7.465000152587891,7.503929138183594,432894000,-0.005791695747360048,6.366505728827582,6.332900714874268,
2010-01-15 00:00:00+00:00,6.210813999176025,7.354642868041992,7.557143211364746,7.352499961853027,7.533214092254639,594067600,-0.016711870167222087,6.350936555862427,6.29640760421753,
2010-01-19 00:00:00+00:00,6.485570430755615,7.679999828338623,7.685357093811035,7.401429176330566,7.440357208251953,730007600,0.04423839316650624,6.363175999034535,6.326145076751709,
2010-01-20 00:00:00+00:00,6.385740756988525,7.56178617477417,7.698214054107666,7.482142925262451,7.675356864929199,612152800,-0.015392581860445342,6.365056395530701,6.350333118438721,
2010-01-21 00:00:00+00:00,6.275356292724609,7.431070804595947,7.618214130401611,7.400356769561768,7.574285984039307,608154400,-0.0172860860571441,6.3581563876225395,6.334770774841308,
